Identifying info: ,,,,,,,,,
Character Name:,The Undertaker,,Class:,Warlock,Background: ,Ranger,Player Name: ,Mav,
,,,Race:,Dwarf,Alignment:,Lawful Evil,Experience Points:,0,
,,,,,,,,,
Ability Scores: ,,,,Armor Class:,Initiative:,Speed: ,,,
Attribute:,Value:,Modifier: ,,,1,25,,,
Strength,13,1,,,,,,,
Dexterity,13,1,,Hit Point Max:,8,,,,
Constitution,11,0,,,,,,,
Intelligence,13,1,,Hit Dice:,1d8,,,,
Wisdom,17,3,,,,,,,
Charisma,18,4,,,,,,,
,,,,,,,,,
,,,,,,,,,
Proficiency Bonus: ,2,,,,,,,,
,,,,,,,,,
Saving Throws:,,,,,,,,,
Attribute:,Proficiency?:,Modifier:,,,,,,,
Strength, ,1,,,,,,,
Dexterity, ,1,,,,,,,
Constitution, ,0,,,,,,,
Intelligence, ,1,,,,,,,
Wisdom,X,5,,,,,,,
Charisma,X,6,,,,,,,
,,,,,,,,,
Skills:,,,,,,,,,
Skill:,Proficiency?:,Modifier:,,,,,,,
Acrobatics,,1,,,,,,,
Animal Handling,,3,,,,,,,
Arcana,,1,,,,,,,
Athletics,,1,,,,,,,
Deception,X,4,,,,,,,
History,,1,,,,,,,
Insight,,3,,,,,,,
Intimidation,,4,,,,,,,
Investigation,X,1,,,,,,,
Medicine,,3,,,,,,,
Nature,,1,,,,,,,
Perception,,3,,,,,,,
Performance,,4,,,,,,,
Persuasion,,4,,,,,,,
Religion,,1,,,,,,,
Sleight of Hand,,1,,,,,,,
Stealth,,1,,,,,,,
Survival,,3,,,,,,,
,,,,,,,,,
Passive Wisdom:,13,,,,,,,,
,
